timestamp,buffer_voltage_mv,resistance,pwr_pw
1722516668503,45,1000000,2025
1722516668507,43,1000000,1849
1722516668511,42,1000000,1764
1722516668515,43,1000000,1849
1722516668519,43,1000000,1849
1722516668523,45,1000000,2025
1722516668527,43,1000000,1849
1722516668531,42,1000000,1764
1722516668535,42,1000000,1764
1722516668539,43,1000000,1849
1722516668543,45,1000000,2025
1722516668547,43,1000000,1849
1722516668552,43,1000000,1849
1722516668556,42,1000000,1764
1722516668559,42,1000000,1764
1722516668563,45,1000000,2025
1722516668567,43,1000000,1849
1722516668571,43,1000000,1849
1722516668575,43,1000000,1849
1722516668579,43,1000000,1849
1722516668583,45,1000000,2025
1722516668587,43,1000000,1849
1722516668591,43,1000000,1849
1722516668595,42,1000000,1764
1722516668600,43,1000000,1849
1722516668604,45,1000000,2025
1722516668608,43,1000000,1849
1722516668612,42,1000000,1764
1722516668616,42,1000000,1764
1722516668620,43,1000000,1849
1722516668624,44,1000000,1936
1722516668628,43,1000000,1849
1722516668632,42,1000000,1764
1722516668636,42,1000000,1764
1722516668640,43,1000000,1849
1722516668644,45,1000000,2025
1722516668648,43,1000000,1849
1722516668653,42,1000000,1764
1722516668657,42,1000000,1764
1722516668660,43,1000000,1849
1722516668664,45,1000000,2025
1722516668668,43,1000000,1849
1722516668672,43,1000000,1849
1722516668676,42,1000000,1764
1722516668680,43,1000000,1849
1722516668684,45,1000000,2025
1722516668688,43,1000000,1849
1722516668692,43,1000000,1849
1722516668696,42,1000000,1764
1722516668701,43,1000000,1849
1722516668705,44,1000000,1936
1722516668709,43,1000000,1849
1722516668713,42,1000000,1764
1722516668717,42,1000000,1764
1722516668721,43,1000000,1849
1722516668725,44,1000000,1936
1722516668729,43,1000000,1849
1722516668733,42,1000000,1764
1722516668737,42,1000000,1764
1722516668741,43,1000000,1849
1722516668745,44,1000000,1936
1722516668749,43,1000000,1849
1722516668753,43,1000000,1849
1722516668758,43,1000000,1849
1722516668761,43,1000000,1849
1722516668765,45,1000000,2025
1722516668769,43,1000000,1849
1722516668773,42,1000000,1764
1722516668777,42,1000000,1764
1722516668781,44,1000000,1936
1722516668785,44,1000000,1936
1722516668789,43,1000000,1849
1722516668793,42,1000000,1764
1722516668798,42,1000000,1764
1722516668802,43,1000000,1849
1722516668806,44,1000000,1936
1722516668810,43,1000000,1849
1722516668814,42,1000000,1764
1722516668818,42,1000000,1764
1722516668822,45,1000000,2025
1722516668826,44,1000000,1936
1722516668830,43,1000000,1849
1722516668833,42,1000000,1764
1722516668837,43,1000000,1849
1722516668841,44,1000000,1936
1722516668845,44,1000000,1936
1722516668849,43,1000000,1849
1722516668853,42,1000000,1764
1722516668857,42,1000000,1764
1722516668861,44,1000000,1936
1722516668865,44,1000000,1936
1722516668869,43,1000000,1849
1722516668873,43,1000000,1849
1722516668877,42,1000000,1764
1722516668881,44,1000000,1936
1722516668885,44,1000000,1936
1722516668889,43,1000000,1849
1722516668894,42,1000000,1764
1722516668898,43,1000000,1849
1722516668902,45,1000000,2025
1722516668906,44,1000000,1936
1722516668910,43,1000000,1849
