exp_id,node_id,rx_gain_ch0,rx_gain_ch1,rx_gain_diff,angle_diff,angle_diff_std,max_IQ_ampl_ch0,max_IQ_ampl_ch1
20240911194521,T04,2.0,8.0,6.0,-79.10205271616789,0.3342412054826479,0.012787302,0.0073549873
20240911194521,T04,2.0,9.0,7.0,-79.09534904360893,0.3072264273609999,0.012787302,0.00817899
20240911194521,T04,2.0,10.0,8.0,-79.0880668833442,0.26784938248179674,0.012848339,0.009216623
20240911194521,T04,2.0,11.0,9.0,-79.0525690764191,0.24884248011615578,0.012848339,0.010345812
20240911194521,T04,2.0,12.0,10.0,-79.02779830344915,0.21542775347068815,0.0128178205,0.011749669
20240911194521,T04,0.0,16.0,16.0,-79.02659236820679,0.1844034291158109,0.012787302,0.017975468
20240911194521,T04,2.0,13.0,11.0,-79.02778490927933,0.20538259078632293,0.012787302,0.0127567835
20240911194521,T04,2.0,14.0,12.0,-79.01800253603798,0.18768588962071628,0.0128178205,0.014313233
20240911194521,T04,2.0,15.0,13.0,-79.98487221836423,1.333076719249784,0.012787302,0.01596124
20240911194521,T04,2.0,16.0,14.0,-79.03610143510087,0.18291451871686798,0.0127567835,0.018097542
20240911194521,T04,2.0,17.0,15.0,-79.02548067684619,0.17753053567383423,0.012787302,0.020142289
20240911194521,T04,2.0,18.0,16.0,-80.85310427469302,2.503159441365547,0.012787302,0.02298052
20240911194521,T04,2.0,19.0,17.0,-79.00591419754744,0.16902528098311165,0.0128178205,0.02499475
20240911194521,T04,2.0,20.0,18.0,-80.9938717453936,0.15040599924879317,0.012787302,0.025879791
20240911194521,T04,2.0,21.0,19.0,-80.98383803218104,0.14132452182598151,0.0127567835,0.02896217
20240911194521,T04,2.0,22.0,20.0,-83.09555546512985,2.856070862925917,0.012848339,0.03256337
20240911194521,T04,0.0,17.0,17.0,-79.02706678172557,0.17143470437335542,0.0128178205,0.020203326
20240911194521,T04,2.0,23.0,21.0,-80.97941758850436,0.14424495760728373,0.0128178205,0.03653079
20240911194521,T04,2.0,24.0,22.0,-80.98291450332071,0.1365949549091414,0.012787302,0.041688435
20240911194521,T04,2.0,25.0,23.0,-82.68231242617662,2.330243967179475,0.012787302,0.045259114
20240911194521,T04,2.0,26.0,24.0,-80.97832230042508,0.14167409995082444,0.0128178205,0.051149208
20240911194521,T04,2.0,27.0,25.0,-80.97018532870334,0.13268999590058111,0.012787302,0.057191893
20240911194521,T04,2.0,28.0,26.0,-82.23153378757023,1.866282193040006,0.012848339,0.06335665
20240911194521,T04,2.0,29.0,27.0,-80.8722616274799,0.1410643860911702,0.012848339,0.07104735
20240911194521,T04,2.0,30.0,28.0,-82.48162719111002,0.12463139023155845,0.0128178205,0.081240565
20240911194521,T04,2.0,31.0,29.0,-79.95087245275636,2.3364206251696897,0.012787302,0.10196271
