x, y\\
20.0, -46.286528503054726\\
25.0, -47.26831735902923\\
29.999999999999996, -46.86015370629065\\
35.0, -46.360543392509264\\
40.0, -49.006946967440655\\
45.0, -50.81054693252598\\
50.0, -51.78949369972898\\
55.0, -50.404979424178435\\
59.99999999999999, -57.844955905255695\\
65.0, -52.44502603429456\\
70.0, -54.96420806657704\\
75.0, -48.54144101267758\\
80.0, -54.135966446546234\\
85.0, -59.06698126383865\\
90.0, -56.45976814896632\\
95.0, -58.53047056450169\\
100.0, -58.591404898299615\\
105.00000000000001, -63.06567431310785\\
110.0, -49.86256004866817\\
115.0, -50.01021273047624\\
119.99999999999999, -57.60223734381198\\
124.99999999999999, -52.653208616395744\\
130.0, -54.44694977938704\\
135.0, -58.453962166336154\\
140.0, -75.63409503654104\\
145.0, -56.3351109916886\\
150.0, -64.25196586341461\\
155.0, -49.78487501850199\\
160.0, -64.29449493084745\\
165.0, -51.589843401950674\\
170.0, -53.70876740899364\\
174.99999999999997, -53.18756220439109\\
5.0, -45.80691166482541\\
10.0, -46.30303525288091\\
14.999999999999998, -45.99025046832756\\
20.0, -46.61736141476478\\
25.0, -45.878756224469015\\
29.999999999999996, -48.38663457625109\\
35.0, -46.601921870185194\\
40.0, -49.27473506678436\\
45.0, -45.63060771666536\\
50.0, -46.42388679490762\\
55.0, -50.739959944202226\\
59.99999999999999, -49.533371547476065\\
65.0, -53.415956916327076\\
70.0, -47.158205145574925\\
75.0, -49.476184080771965\\
80.0, -55.08206486775184\\
85.0, -49.57518121367043\\
90.0, -62.3761936966435\\
95.0, -52.28892049896168\\
100.0, -53.235461115682824\\
105.00000000000001, -54.54150969712498\\
110.0, -56.017538720782845\\
115.0, -75.2649115221449\\
119.99999999999999, -54.02132701969882\\
124.99999999999999, -62.70371976489638\\
130.0, -68.07485314887246\\
135.0, -56.33241840020297\\
140.0, -52.07797342896144\\
145.0, -58.77041026642742\\
150.0, -60.31154636788749\\
155.0, -67.85876575518155\\
160.0, -53.89605092711437\\
165.0, -67.69164352876825\\
170.0, -66.97310545906946\\
174.99999999999997, -51.46512875818221\\
5.0, -46.94226362705421\\
10.0, -46.13900273517202\\
14.999999999999998, -44.94846282527984\\
20.0, -46.1307777796102\\
25.0, -48.259696641038175\\
29.999999999999996, -47.87744570584189\\
35.0, -50.24556601248716\\
40.0, -46.09255331860513\\
45.0, -50.34124910273966\\
50.0, -47.896684394429\\
55.0, -50.48536239463937\\
59.99999999999999, -45.71905496216963\\
65.0, -47.424899885876286\\
70.0, -54.0446758379764\\
75.0, -57.373262013154935\\
80.0, -51.742497382126075\\
85.0, -54.36357738304051\\
90.0, -50.4402674683829\\
95.0, -49.28581096396614\\
