x,y,z,utc,dbm,buffer_voltage_mv,resistance,pwr_nw
1.0,2.0,3.0,14:26:22,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-32.78630530656195,1643,367187,7342
1.0,2.0,3.0,14:26:23,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-18.412179775402958,1637,207031,12943
1.0,2.0,3.0,14:26:24,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.305486032717674,1609,101562,25490
1.0,2.0,3.0,14:26:25,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.224281802046306,1609,101562,25458
1.0,2.0,3.0,14:26:26,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-26.68502887857217,1609,101562,25458
1.0,2.0,3.0,14:26:27,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-28.16868797461528,1433,1000000,2062
1.0,2.0,3.0,14:26:28,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-19.27555102063236,1434,1000000,2056
1.0,2.0,3.0,14:26:29,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.521379964784032,1434,1000000,2056
1.0,2.0,3.0,14:26:30,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-29.238220730665383,688,1000000,474
1.0,2.0,3.0,14:26:31,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-19.78110162703036,71,1000000,5
1.0,2.0,3.0,14:26:32,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-26.159401960213756,71,1000000,5
1.0,2.0,3.0,14:26:33,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-34.35833762984331,668,1000000,454
1.0,2.0,3.0,14:26:34,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.259422242978395,762,1000000,580
1.0,2.0,3.0,14:26:35,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.89139781649843,762,1000000,580
1.0,2.0,3.0,14:26:36,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.727334500376262,61,1000000,3
1.0,2.0,3.0,14:26:37,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.67356716923593,61,1000000,3
1.0,2.0,3.0,14:26:38,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-18.8569607421906,61,1000000,3
1.0,2.0,3.0,14:26:39,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.30724301012052,1211,1000000,1471
1.0,2.0,3.0,14:26:40,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.04999153960975,98,1000000,9
1.0,2.0,3.0,14:26:41,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-30.971839095074458,72,1000000,5
1.0,2.0,3.0,14:26:42,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-18.851092283111015,1638,976562,2767
1.0,2.0,3.0,14:26:43,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.277027868781396,1642,964843,2814
1.0,2.0,3.0,14:26:44,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.94285562823732,1205,1000000,1452
1.0,2.0,3.0,14:26:45,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.096583998292544,539,1000000,298
1.0,2.0,3.0,14:26:46,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.346765127691896,539,1000000,293
1.0,2.0,3.0,14:26:47,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.144270539824788,157,1000000,25
1.0,2.0,3.0,14:26:48,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-16.48498221551698,1827,402343,8332
1.0,2.0,3.0,14:26:49,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-16.450445490351875,1640,285156,9397
1.0,2.0,3.0,14:26:50,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-15.525513498065688,253,1000000,64
1.0,2.0,3.0,14:26:51,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.124325654713214,1790,800781,4001
1.0,2.0,3.0,14:26:52,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.87831504153216,1644,542968,4959
1.0,2.0,3.0,14:26:53,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.00111640851108,1436,1000000,2024
1.0,2.0,3.0,14:26:54,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-28.104135792201326,114,1000000,12
1.0,2.0,3.0,14:26:55,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.233709074556753,114,1000000,12
1.0,2.0,3.0,14:26:56,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.242584478262767,1413,1000000,2002
