timestamp,x,y,z,utc,dbm,buffer_voltage_mv,resistance,pwr_nw
1718719833.3927665,1.0,2.0,3.0,16:10:31,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.96375573355754,448,1000000,200
1718719833.9498289,1.0,2.0,3.0,16:10:32,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.21668359292932,448,1000000,202
1718719834.5041845,1.0,2.0,3.0,16:10:32,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.179231109809017,448,1000000,202
1718719835.0631802,1.0,2.0,3.0,16:10:33,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.314919323151855,442,1000000,195
1718719835.6000123,1.0,2.0,3.0,16:10:34,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.20827613473763,442,1000000,195
1718719836.122927,1.0,2.0,3.0,16:10:34,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.0355658933686,442,1000000,195
1718719836.6752563,1.0,2.0,3.0,16:10:35,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.262435401318847,1636,789062,3387
1718719837.215842,1.0,2.0,3.0,16:10:35,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.299848647170073,1636,789062,3387
1718719837.7286665,1.0,2.0,3.0,16:10:36,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.249260774102538,1636,789062,3387
1718719838.2623188,1.0,2.0,3.0,16:10:36,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.228775367219498,1645,789062,3437
1718719838.8109229,1.0,2.0,3.0,16:10:37,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.30071515654427,1645,789062,3437
1718719839.3149846,1.0,2.0,3.0,16:10:37,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.241004536958286,1645,789062,3437
