x,y,z,utc,dbm,buffer_voltage_mv,resistance,pwr_nw
1.0,2.0,3.0,14:10:30,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-30.72511329586584,559,1000000,313
1.0,2.0,3.0,14:10:31,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-29.188398150522623,559,1000000,313
1.0,2.0,3.0,14:10:32,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.62744707765396,421,1000000,176
1.0,2.0,3.0,14:10:33,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.020891524362163,1262,1000000,1582
1.0,2.0,3.0,14:10:34,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-30.92049148585503,627,1000000,395
1.0,2.0,3.0,14:10:35,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.567336501304148,631,1000000,395
1.0,2.0,3.0,14:10:36,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.0254309977335,1336,1000000,1787
1.0,2.0,3.0,14:10:37,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.159756477449122,1336,1000000,1787
1.0,2.0,3.0,14:10:38,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.556244243852085,966,1000000,933
1.0,2.0,3.0,14:10:39,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.135017017183305,49,1000000,2
1.0,2.0,3.0,14:10:40,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.51075785290712,301,1000000,93
1.0,2.0,3.0,14:10:41,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.554990548546797,301,1000000,91
1.0,2.0,3.0,14:10:42,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.613765171014098,1537,1000000,2362
1.0,2.0,3.0,14:10:43,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.908091003935702,741,1000000,547
1.0,2.0,3.0,14:10:44,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.269127822607018,738,1000000,549
